Term,Translation,Context
abiadura,linear velocity; velocity,Physics > Aplied Physics
abiadura,linear velocity; speed; velocity,Physics > Electro-magnetism
abiadura bektore,velocity vector,Physics > Aplied Physics
abiadura bektore,linear velocity; speed; velocity,Physics > Electro-magnetism
abiadura lineal,linear velocity; velocity,Physics > Aplied Physics
abiadura lineal,linear velocity; speed; velocity,Physics > Electro-magnetism
aldaratze-indar,repulsion force,Physics > Aplied Physics
aldaratze-indar,repulsive force,Physics > Electro-magnetism
batezbesteko,average; mean,Physics > Aplied Physics
batezbesteko,average,Physics > Electro-magnetism
Biot eta Savart-en legea,Biot and Savart's law,Physics > Aplied Physics
Biot eta Savart-en legea,Biot-Savart law,Physics > Electro-magnetism
denbora-tarte,time interval,Physics > Aplied Physics
denbora-tarte,period of time,Physics > Electro-magnetism
deribatu,derive,Physics > Aplied Physics
deribatu,derivative,Physics > Electro-magnetism
erakarpen-indar,attraction force,Physics > Aplied Physics
erakarpen-indar,attraction; attractive force,Physics > Electro-magnetism
eraso,incide,Physics > Aplied Physics
eraso,incidence,Physics > Electro-magnetism
erradio,radio,Physics > Aplied Physics
erradio,radius,Physics > Electro-magnetism
erreferentzia-sistema,frame of reference; reference system,Physics > Aplied Physics
erreferentzia-sistema,reference system,Physics > Electro-magnetism
erresistentzia,resistance,Physics > Aplied Physics
erresistentzia,ohmic resistance; resistance,Physics > Electro-magnetism
erresistentzia elektriko,electric resistence,Physics > Aplied Physics
erresistentzia elektriko,electrical resistance,Physics > Electro-magnetism
etengailu,switch,Physics > Aplied Physics
etengailu,breaker,Physics > Electro-magnetism
fase-aldaketa,phase variation,Physics > Aplied Physics
fase-aldaketa,change of phase; phase change,Physics > Electro-magnetism
frekuentzia,frecuency,Physics > Aplied Physics
frekuentzia,frequency,Physics > Electro-magnetism
frekuentzia angeluar,angular frecuency,Physics > Aplied Physics
frekuentzia angeluar,angular frequency; pulsation,Physics > Electro-magnetism
hedapen,propagation,Physics > Aplied Physics
hedapen,propagation; espansion,Physics > Electro-magnetism
hedapen-abiadura,propagation velocity,Physics > Aplied Physics
hedapen-abiadura,phase velocity; propagation velocity; speed of propagation; velocity of propagation,Physics > Electro-magnetism
higidura,motion,Physics > Aplied Physics
higidura,motion; movement,Physics > Electro-magnetism
higidura oszilakor,oscillatory motion,Physics > Aplied Physics
higidura oszilakor,oscillating motion; oscillating movement; oscillatory motion,Physics > Electro-magnetism
ibilbide,trajectory,Physics > Aplied Physics
ibilbide,path; trajectory,Physics > Electro-magnetism
induzitu,induce; armature,Physics > Aplied Physics
induzitu,induce,Physics > Electro-magnetism
induzitutako indar elektroeragile,induced emf,Physics > Aplied Physics
induzitutako indar elektroeragile,induced electromotive force,Physics > Electro-magnetism
induzitutako intentsitate,induced current; intensidad inducida,Physics > Aplied Physics
induzitutako intentsitate,induced intensity,Physics > Electro-magnetism
intentsitate induzitu,induced current; intensidad inducida,Physics > Aplied Physics
intentsitate induzitu,induced intensity,Physics > Electro-magnetism
isolatzaile,isolator,Physics > Aplied Physics
isolatzaile,insulator,Physics > Electro-magnetism
karga,charge,Physics > Aplied Physics
karga,charge; electric charge; electrical charge; load impedance,Physics > Electro-magnetism
karga elektriko,electric charge,Physics > Aplied Physics
karga elektriko,charge; electric charge; electrical charge,Physics > Electro-magnetism
karga-sistema,charge system,Physics > Aplied Physics
karga-sistema,system of charges,Physics > Electro-magnetism
kontserbazio-lege,conservation law,Physics > Aplied Physics
kontserbazio-lege,conservation law; law of conservation,Physics > Electro-magnetism
koordenatu-jatorri,origin of coordinates; point of origin,Physics > Aplied Physics
koordenatu-jatorri,origin of coordinates,Physics > Electro-magnetism
korronte-intentsitate,current,Physics > Aplied Physics
korronte-intentsitate,current intensity; intensity of current,Physics > Electro-magnetism
magnitude,magnitude,Physics > Aplied Physics
magnitude,physical quantity; quantity,Physics > Electro-magnetism
magnitude bektorial,vector magnitude; vector quantity,Physics > Aplied Physics
magnitude bektorial,vector quantity,Physics > Electro-magnetism
magnitude fisiko,phisical magnitude,Physics > Aplied Physics
magnitude fisiko,physical quantity; quantity,Physics > Electro-magnetism
maiztasun,frecuency,Physics > Aplied Physics
maiztasun,frequency,Physics > Electro-magnetism
maiztasun angeluar,angular frecuency,Physics > Aplied Physics
maiztasun angeluar,angular frequency; pulsation,Physics > Electro-magnetism
marruskadura-koefiziente,coefficient of friction,Physics > Aplied Physics
marruskadura-koefiziente,friction coefficient,Physics > Electro-magnetism
modulu,module; modulus,Physics > Aplied Physics
modulu,modulus,Physics > Electro-magnetism
momentu,moment of a force; torque,Physics > Aplied Physics
momentu,moment; moment of a force; torque,Physics > Electro-magnetism
noranzko,sense,Physics > Aplied Physics
noranzko,direction of motion; directional sense; sense; sense of motion,Physics > Electro-magnetism
nukleo,core; nucleus,Physics > Aplied Physics
nukleo,nucleus,Physics > Electro-magnetism
oreka,equilibrium,Physics > Aplied Physics
oreka,equilibrium; mechanical equilibrium,Physics > Electro-magnetism
partikula-sistema,system of particles,Physics > Aplied Physics
partikula-sistema,particle system,Physics > Electro-magnetism
permitibitate,permittivity,Physics > Aplied Physics
permitibitate,absolute permittivity; permittivity,Physics > Electro-magnetism
perturbazio,perturbation,Physics > Aplied Physics
perturbazio,disturbance; perturbation,Physics > Electro-magnetism
plaka,plate,Physics > Aplied Physics
plaka,plate; sheet,Physics > Electro-magnetism
potentzial-diferentzia,potential difference,Physics > Aplied Physics
potentzial-diferentzia,potential difference; tension; voltage,Physics > Electro-magnetism
serie-konexio,series connection,Physics > Aplied Physics
serie-konexio,association in series; series conection,Physics > Electro-magnetism
soinu-intentsitate,sound volume,Physics > Aplied Physics
soinu-intentsitate,sound intensity,Physics > Electro-magnetism
solido zurrun,rigid solid,Physics > Aplied Physics
solido zurrun,rigid body; solid body,Physics > Electro-magnetism
talka,collision; impact,Physics > Aplied Physics
talka,collision,Physics > Electro-magnetism
tentsio,tension,Physics > Aplied Physics
tentsio,potential difference; tension; voltage,Physics > Electro-magnetism
uhin-fronte,wavefront,Physics > Aplied Physics
uhin-fronte,wave front; wavefront,Physics > Electro-magnetism
xafla,plate,Physics > Aplied Physics
xafla,plate; sheet,Physics > Electro-magnetism
zunda,sonde,Physics > Aplied Physics
zunda,probe,Physics > Electro-magnetism
