Term,Translation,Context
balio efikaz,effective value; rms value; root-mean-square value,Technological Sciences > Electrical technology and engineering
balio efikaz,effective value; RMS; root mean square,Technological Sciences > Electronic technology
balio maximo,maximum value; peak value,Technological Sciences > Electrical technology and engineering
balio maximo,maximum value,Technological Sciences > Electronic technology
egoera egonkor,stable regime; steady state,Technological Sciences > Electrical technology and engineering
egoera egonkor,steady state,Technological Sciences > Electronic technology
egoera iragankor,transient state,Technological Sciences > Electrical technology and engineering
egoera iragankor,transient response,Technological Sciences > Electronic technology
elikadura,energizing; power supply; supply,Technological Sciences > Electrical technology and engineering
elikadura,alimentation; power; power source; power supply,Technological Sciences > Electronic technology
energia elektriko,electric power; electrical energy,Technological Sciences > Electrical technology and engineering
energia elektriko,electric energy; electric power; electrical energy,Technological Sciences > Electronic technology
energiaren kontserbazio-printzipio,principle of conservation of energy,Technological Sciences > Electrical technology and engineering
energiaren kontserbazio-printzipio,law of conservation of energy,Technological Sciences > Electronic technology
erregimen iraunkor,stable regime; steady state,Technological Sciences > Electrical technology and engineering
erregimen iraunkor,steady state,Technological Sciences > Electronic technology
erreguladore,regulator,Technological Sciences > Electrical technology and engineering
erreguladore,regulator; voltage regulator,Technological Sciences > Electronic technology
erresistentzia,resistance; resistor,Technological Sciences > Electrical technology and engineering
erresistentzia,resistor; resistance,Technological Sciences > Electronic technology
etengailu,breaker; circuit breaker; interrupter; switch,Technological Sciences > Electrical technology and engineering
etengailu,breaker; switch,Technological Sciences > Electronic technology
fluxu,flux,Technological Sciences > Electrical technology and engineering
fluxu,flow; flux,Technological Sciences > Electronic technology
hartzaile,receiver; receiving set,Technological Sciences > Electrical technology and engineering
hartzaile,acceptor; electron acceptor; receiver,Technological Sciences > Electronic technology
hobi,niche,Technological Sciences > Electrical technology and engineering
hobi,drain,Technological Sciences > Electronic technology
hodi,conduit; duct; pipe,Technological Sciences > Electrical technology and engineering
hodi,duct,Technological Sciences > Electronic technology
hornitzaile,supplier; supply undertaking,Technological Sciences > Electrical technology and engineering
hornitzaile,provider,Technological Sciences > Electronic technology
inbertsore,inverter,Technological Sciences > Electrical technology and engineering
inbertsore,inverter; NOT gate,Technological Sciences > Electronic technology
isolamendu,insulation; isolation,Technological Sciences > Electrical technology and engineering
isolamendu,insulation,Technological Sciences > Electronic technology
karga,load,Technological Sciences > Electrical technology and engineering
karga,electric charge; electrical charge; charge,Technological Sciences > Electronic technology
karga elektriko,electric load; electrical load; load,Technological Sciences > Electrical technology and engineering
karga elektriko,electric charge; electrical charge,Technological Sciences > Electronic technology
kargaren kontserbazio-printzipio,law of the conservation of charge,Technological Sciences > Electrical technology and engineering
kargaren kontserbazio-printzipio,charge conservation principle,Technological Sciences > Electronic technology
kommutadore,changeover switch; commutator; selector switch,Technological Sciences > Electrical technology and engineering
kommutadore,switch,Technological Sciences > Electronic technology
kommutazio,change-over switching; changeover switching; commutation; switching,Technological Sciences > Electrical technology and engineering
kommutazio,commutation,Technological Sciences > Electronic technology
korapiloen metodo,node method; node-voltage method,Technological Sciences > Electrical technology and engineering
korapiloen metodo,branch current method; nodal analysis; node-voltage analysis,Technological Sciences > Electronic technology
lur,ground,Technological Sciences > Electrical technology and engineering
lur,earth; ground,Technological Sciences > Electronic technology
maila,loop; mesh,Technological Sciences > Electrical technology and engineering
maila,mesh,Technological Sciences > Electronic technology
material eroale,conducting material,Technological Sciences > Electrical technology and engineering
material eroale,conductive material,Technological Sciences > Electronic technology
modulu,modulus,Technological Sciences > Electrical technology and engineering
modulu,module,Technological Sciences > Electronic technology
muga,limit,Technological Sciences > Electrical technology and engineering
muga,boundary,Technological Sciences > Electronic technology
neurgailu,measurement device; measuring instrument,Technological Sciences > Electrical technology and engineering
neurgailu,measuring device; measuring instrument; meter,Technological Sciences > Electronic technology
neurketa,measurement; result of a measurement,Technological Sciences > Electrical technology and engineering
neurketa,measurement,Technological Sciences > Electronic technology
osagai,component; element,Technological Sciences > Electrical technology and engineering
osagai,component,Technological Sciences > Electronic technology
osagai lineal,linear element,Technological Sciences > Electrical technology and engineering
osagai lineal,linear component,Technological Sciences > Electronic technology
paralelo-elkarketa,parallel combination,Technological Sciences > Electrical technology and engineering
paralelo-elkarketa,parallel connection,Technological Sciences > Electronic technology
paralelo-konexio,parallel combination,Technological Sciences > Electrical technology and engineering
paralelo-konexio,parallel connection,Technological Sciences > Electronic technology
potentzial-diferentzia,potential difference; potential difference; voltage,Technological Sciences > Electrical technology and engineering
potentzial-diferentzia,potential difference; voltage,Technological Sciences > Electronic technology
serie-elkarketa,series combination,Technological Sciences > Electrical technology and engineering
serie-elkarketa,series connection,Technological Sciences > Electronic technology
sorgailu elektriko,electrical generator,Technological Sciences > Electrical technology and engineering
sorgailu elektriko,electric generator; electrical generator; generator,Technological Sciences > Electronic technology
zirkuitulabur,short-circuit,Technological Sciences > Electrical technology and engineering
zirkuitulabur,s/c; short; short circuit,Technological Sciences > Electronic technology
