Term,Translation,Context
cell,pila; pila elektrokimiko; pila voltaiko,Physics > Electro-magnetism
cell,gelaxka,Technological Sciences > Electrical technology and engineering
characteristic,ezaugarri; karakteristika,Physics > Electro-magnetism
characteristic,ezaugarri-kurba,Technological Sciences > Electrical technology and engineering
device,dispositibo,Physics > Electro-magnetism
device,aparatu; gailu; tresna,Technological Sciences > Electrical technology and engineering
dielectric loss,dielektrikoaren ondoriozko galera,Physics > Electro-magnetism
dielectric loss,galera dielektriko,Technological Sciences > Electrical technology and engineering
discontinuity,desjarraitasun; etenune,Physics > Electro-magnetism
discontinuity,desjarraitutasun; eten,Technological Sciences > Electrical technology and engineering
dissipated power,potentzia xahutu,Physics > Electro-magnetism
dissipated power,potentzia barreiatu,Technological Sciences > Electrical technology and engineering
efficiency,eraginkortasun,Physics > Electro-magnetism
efficiency,errendimendu,Technological Sciences > Electrical technology and engineering
energy balance,balantze energetiko,Physics > Electro-magnetism
energy balance,energia-balantze,Technological Sciences > Electrical technology and engineering
flow,emari,Physics > Electro-magnetism
flow,igaro; zeharkatu,Technological Sciences > Electrical technology and engineering
fundamental frequency,funtsezko harmoniko; lehen harmoniko; oinarrizko harmoniko,Physics > Electro-magnetism
fundamental frequency,oinarrizko frekuentzia; oinarrizko maiztasun,Technological Sciences > Electrical technology and engineering
isolator,isolagailu,Physics > Electro-magnetism
isolator,ebakigailu,Technological Sciences > Electrical technology and engineering
link,esteka,Physics > Electro-magnetism
link,lotura-adar,Technological Sciences > Electrical technology and engineering
peak value,gailur-balio,Physics > Electro-magnetism
peak value,balio maximo; gehieneko balio,Technological Sciences > Electrical technology and engineering
power source,elikadura-iturri,Physics > Electro-magnetism
power source,elikatze-iturri,Technological Sciences > Electrical technology and engineering
real part,parte erreal,Physics > Electro-magnetism
real part,zati erreal,Technological Sciences > Electrical technology and engineering
self-inductance,autoinduktantzia,Physics > Electro-magnetism
self-inductance,autoindukzio; induktantzia,Technological Sciences > Electrical technology and engineering
sequence,progresio; segida,Physics > Electro-magnetism
sequence,sekuentzia,Technological Sciences > Electrical technology and engineering
skin effect,azal-efektu,Physics > Electro-magnetism
skin effect,skin efektu,Technological Sciences > Electrical technology and engineering
spin,spin,Physics > Electro-magnetism
spin,biratu,Technological Sciences > Electrical technology and engineering
state,egoera,Physics > Electro-magnetism
state,erregimen,Technological Sciences > Electrical technology and engineering
superposition,gainezarmen,Physics > Electro-magnetism
superposition,gainezarpen,Technological Sciences > Electrical technology and engineering
transmission line,transmisio-linea,Physics > Electro-magnetism
transmission line,garraio-linea,Technological Sciences > Electrical technology and engineering
transmit,transmititu,Physics > Electro-magnetism
transmit,garraiatu,Technological Sciences > Electrical technology and engineering
