Term,Translation,Context
ardatz,shaft,Technological Sciences > Electrical technology and engineering
ardatz,axis,Technological Sciences > Environmental technology and engineering
baliokidetasun,equivalence,Technological Sciences > Electrical technology and engineering
baliokidetasun,equivalencia,Technological Sciences > Environmental technology and engineering
betegarri,backfill,Technological Sciences > Electrical technology and engineering
betegarri,packing,Technological Sciences > Environmental technology and engineering
egoera geldikor,steady-state,Technological Sciences > Electrical technology and engineering
egoera geldikor,stable condition; stationary phase; steady state,Technological Sciences > Environmental technology and engineering
elikadura,energizing; power supply; supply,Technological Sciences > Electrical technology and engineering
elikadura,feed,Technological Sciences > Environmental technology and engineering
erreaktibo,reactive,Technological Sciences > Electrical technology and engineering
erreaktibo,reactant; reagent,Technological Sciences > Environmental technology and engineering
erresistentzia elektriko,ohmic resistance,Technological Sciences > Electrical technology and engineering
erresistentzia elektriko,electrical resistance,Technological Sciences > Environmental technology and engineering
esekidura,hanging,Technological Sciences > Electrical technology and engineering
esekidura,suspension,Technological Sciences > Environmental technology and engineering
estaldura,outer sheath; oversheath; sheath,Technological Sciences > Electrical technology and engineering
estaldura,cover,Technological Sciences > Environmental technology and engineering
etendura,breaking,Technological Sciences > Electrical technology and engineering
etendura,interruption,Technological Sciences > Environmental technology and engineering
fluxu,flux,Technological Sciences > Electrical technology and engineering
fluxu,flow; flow rate; flowrate,Technological Sciences > Environmental technology and engineering
galeria,cable tunnel,Technological Sciences > Electrical technology and engineering
galeria,gallery,Technological Sciences > Environmental technology and engineering
garraiatu,transmit,Technological Sciences > Electrical technology and engineering
garraiatu,transport,Technological Sciences > Environmental technology and engineering
haizagailu,fan,Technological Sciences > Electrical technology and engineering
haizagailu,blower; ventilator,Technological Sciences > Environmental technology and engineering
hobi,niche,Technological Sciences > Electrical technology and engineering
hobi,hole; ore; sink,Technological Sciences > Environmental technology and engineering
hodi,conduit; duct; pipe,Technological Sciences > Electrical technology and engineering
hodi,tube,Technological Sciences > Environmental technology and engineering
karga elektriko,electric load; electrical load; load,Technological Sciences > Electrical technology and engineering
karga elektriko,electric charge; electrical charge,Technological Sciences > Environmental technology and engineering
kondentsadore,capacitor,Technological Sciences > Electrical technology and engineering
kondentsadore,condenser,Technological Sciences > Environmental technology and engineering
kontagailu,electric meter; energy meter,Technological Sciences > Electrical technology and engineering
kontagailu,counter,Technological Sciences > Environmental technology and engineering
lubaki,trench,Technological Sciences > Electrical technology and engineering
lubaki,ditch,Technological Sciences > Environmental technology and engineering
muga,limit,Technological Sciences > Electrical technology and engineering
muga,boundary,Technological Sciences > Environmental technology and engineering
nukleo,core,Technological Sciences > Electrical technology and engineering
nukleo,nucleus,Technological Sciences > Environmental technology and engineering
tentsio,potential difference; voltage,Technological Sciences > Electrical technology and engineering
tentsio,tension,Technological Sciences > Environmental technology and engineering
tortsio,torque,Technological Sciences > Electrical technology and engineering
tortsio,torsion,Technological Sciences > Environmental technology and engineering
zanga,trench,Technological Sciences > Electrical technology and engineering
zanga,ditch,Technological Sciences > Environmental technology and engineering
zentral elektriko,electric power plant; electric power station; power station,Technological Sciences > Electrical technology and engineering
zentral elektriko,electric plant,Technological Sciences > Environmental technology and engineering
