Term,Translation,Context
abiadura bektore,velocity vector,Physics > Aplied Physics
abiadura bektore,linear velocity; speed; velocity,Physics > Electro-magnetism
aldaratze-indar,repulsion force,Physics > Aplied Physics
aldaratze-indar,repulsive force,Physics > Electro-magnetism
Biot eta Savart-en legea,Biot and Savart's law,Physics > Aplied Physics
Biot eta Savart-en legea,Biot-Savart law,Physics > Electro-magnetism
denbora-tarte,time interval,Physics > Aplied Physics
denbora-tarte,period of time,Physics > Electro-magnetism
deribatu,derive,Physics > Aplied Physics
deribatu,derivative,Physics > Electro-magnetism
erakarpen-indar,attraction force,Physics > Aplied Physics
erakarpen-indar,attraction; attractive force,Physics > Electro-magnetism
erradio,radio,Physics > Aplied Physics
erradio,radius,Physics > Electro-magnetism
erresistentzia elektriko,electric resistence,Physics > Aplied Physics
erresistentzia elektriko,electrical resistance,Physics > Electro-magnetism
etengailu,switch,Physics > Aplied Physics
etengailu,breaker,Physics > Electro-magnetism
fase-aldaketa,phase variation,Physics > Aplied Physics
fase-aldaketa,change of phase; phase change,Physics > Electro-magnetism
frekuentzia,frecuency,Physics > Aplied Physics
frekuentzia,frequency,Physics > Electro-magnetism
frekuentzia angeluar,angular frecuency,Physics > Aplied Physics
frekuentzia angeluar,angular frequency; pulsation,Physics > Electro-magnetism
induzitutako indar elektroeragile,induced emf,Physics > Aplied Physics
induzitutako indar elektroeragile,induced electromotive force,Physics > Electro-magnetism
induzitutako intentsitate,induced current; intensidad inducida,Physics > Aplied Physics
induzitutako intentsitate,induced intensity,Physics > Electro-magnetism
intentsitate induzitu,induced current; intensidad inducida,Physics > Aplied Physics
intentsitate induzitu,induced intensity,Physics > Electro-magnetism
isolatzaile,isolator,Physics > Aplied Physics
isolatzaile,insulator,Physics > Electro-magnetism
karga-sistema,charge system,Physics > Aplied Physics
karga-sistema,system of charges,Physics > Electro-magnetism
magnitude,magnitude,Physics > Aplied Physics
magnitude,physical quantity; quantity,Physics > Electro-magnetism
magnitude fisiko,phisical magnitude,Physics > Aplied Physics
magnitude fisiko,physical quantity; quantity,Physics > Electro-magnetism
maiztasun,frecuency,Physics > Aplied Physics
maiztasun,frequency,Physics > Electro-magnetism
maiztasun angeluar,angular frecuency,Physics > Aplied Physics
maiztasun angeluar,angular frequency; pulsation,Physics > Electro-magnetism
marruskadura-koefiziente,coefficient of friction,Physics > Aplied Physics
marruskadura-koefiziente,friction coefficient,Physics > Electro-magnetism
partikula-sistema,system of particles,Physics > Aplied Physics
partikula-sistema,particle system,Physics > Electro-magnetism
serie-konexio,series connection,Physics > Aplied Physics
serie-konexio,association in series; series conection,Physics > Electro-magnetism
soinu-intentsitate,sound volume,Physics > Aplied Physics
soinu-intentsitate,sound intensity,Physics > Electro-magnetism
solido zurrun,rigid solid,Physics > Aplied Physics
solido zurrun,rigid body; solid body,Physics > Electro-magnetism
zunda,sonde,Physics > Aplied Physics
zunda,probe,Physics > Electro-magnetism
