Term,Translation,Context
ardatz,axis,Technological Sciences > Construction technology
ardatz,shaft,Technological Sciences > Electrical technology and engineering
armadura,truss,Technological Sciences > Construction technology
armadura,armature; armour,Technological Sciences > Electrical technology and engineering
batura bektorial,vector sum,Technological Sciences > Construction technology
batura bektorial,sum of phasors,Technological Sciences > Electrical technology and engineering
bihurdura,torsion,Technological Sciences > Construction technology
bihurdura,torque,Technological Sciences > Electrical technology and engineering
biraketa,gyration,Technological Sciences > Construction technology
biraketa,rotation,Technological Sciences > Electrical technology and engineering
doikuntza,ajustement,Technological Sciences > Construction technology
doikuntza,adjustment; setting,Technological Sciences > Electrical technology and engineering
egonkortasun estatiko,static stability,Technological Sciences > Construction technology
egonkortasun estatiko,steady-state stability,Technological Sciences > Electrical technology and engineering
eguzki-panel,solar cell panel,Technological Sciences > Construction technology
eguzki-panel,PV panel; solar panel,Technological Sciences > Electrical technology and engineering
erreferentzia-sistema,frame system,Technological Sciences > Construction technology
erreferentzia-sistema,reference system,Technological Sciences > Electrical technology and engineering
indar-pare,couple,Technological Sciences > Construction technology
indar-pare,torque,Technological Sciences > Electrical technology and engineering
konpentsagailu,compensateur,Technological Sciences > Construction technology
konpentsagailu,compensator,Technological Sciences > Electrical technology and engineering
korapilo,knot; panel point,Technological Sciences > Construction technology
korapilo,node,Technological Sciences > Electrical technology and engineering
korapiloen metodo,panel point method,Technological Sciences > Construction technology
korapiloen metodo,node method; node-voltage method,Technological Sciences > Electrical technology and engineering
kordoi,bead; chord; weld bead,Technological Sciences > Construction technology
kordoi,cord,Technological Sciences > Electrical technology and engineering
lur,land; terrain,Technological Sciences > Construction technology
lur,ground,Technological Sciences > Electrical technology and engineering
masa,mass,Technological Sciences > Construction technology
masa,earth; exposed conductive part; earthing; ground connection,Technological Sciences > Electrical technology and engineering
modulu,module,Technological Sciences > Construction technology
modulu,modulus,Technological Sciences > Electrical technology and engineering
momentu,moment,Technological Sciences > Construction technology
momentu,torque,Technological Sciences > Electrical technology and engineering
pare,couple,Technological Sciences > Construction technology
pare,torque,Technological Sciences > Electrical technology and engineering
posizio,position,Technological Sciences > Construction technology
posizio,bay,Technological Sciences > Electrical technology and engineering
sareta,truss,Technological Sciences > Construction technology
sareta,lattice,Technological Sciences > Electrical technology and engineering
tentsio,stress; tension,Technological Sciences > Construction technology
tentsio,potential difference; voltage,Technological Sciences > Electrical technology and engineering
tentsio onargarri,allowable stress,Technological Sciences > Construction technology
tentsio onargarri,permissible voltage,Technological Sciences > Electrical technology and engineering
tortsio,torsion,Technological Sciences > Construction technology
tortsio,torque,Technological Sciences > Electrical technology and engineering
triangelu,triangle,Technological Sciences > Construction technology
triangelu,delta,Technological Sciences > Electrical technology and engineering
xafla,plate,Technological Sciences > Construction technology
xafla,sheet,Technological Sciences > Electrical technology and engineering
zubi,bridge,Technological Sciences > Construction technology
zubi,jumper,Technological Sciences > Electrical technology and engineering
