Term,Translation,Context
abiadura lineal,linear velocity; speed; velocity,Physics > Electro-magnetism
abiadura lineal,linear speed,Technological Sciences > Electrical technology and engineering
adierazpen bektorial,vector expression,Physics > Electro-magnetism
adierazpen bektorial,vector representation,Technological Sciences > Electrical technology and engineering
akoplatu,couple,Physics > Electro-magnetism
akoplatu,connect,Technological Sciences > Electrical technology and engineering
ardatz,axis,Physics > Electro-magnetism
ardatz,shaft,Technological Sciences > Electrical technology and engineering
bihurdura,torsion,Physics > Electro-magnetism
bihurdura,torque,Technological Sciences > Electrical technology and engineering
bira,revolution,Physics > Electro-magnetism
bira,coil; turn,Technological Sciences > Electrical technology and engineering
ekuazio-sistema,system of equations,Physics > Electro-magnetism
ekuazio-sistema,equation system,Technological Sciences > Electrical technology and engineering
eraso-angelu,angle of incidence; incidence angle,Physics > Electro-magnetism
eraso-angelu,angle of attack,Technological Sciences > Electrical technology and engineering
erregimen iragankor,transient regime,Physics > Electro-magnetism
erregimen iragankor,transient state,Technological Sciences > Electrical technology and engineering
erresistentzia elektriko,electrical resistance,Physics > Electro-magnetism
erresistentzia elektriko,ohmic resistance,Technological Sciences > Electrical technology and engineering
estaldura,coverage,Physics > Electro-magnetism
estaldura,outer sheath; oversheath; sheath,Technological Sciences > Electrical technology and engineering
eten,interruption,Physics > Electro-magnetism
eten,discontinuity,Technological Sciences > Electrical technology and engineering
hedapen-denbora,time of propagation,Physics > Electro-magnetism
hedapen-denbora,propagation delay,Technological Sciences > Electrical technology and engineering
indar-pare,couple of forces,Physics > Electro-magnetism
indar-pare,torque,Technological Sciences > Electrical technology and engineering
isolagailu,isolator,Physics > Electro-magnetism
isolagailu,insulator,Technological Sciences > Electrical technology and engineering
karga elektriko,charge; electric charge; electrical charge,Physics > Electro-magnetism
karga elektriko,electric load; electrical load; load,Technological Sciences > Electrical technology and engineering
korronte-iturri,source of current,Physics > Electro-magnetism
korronte-iturri,current source,Technological Sciences > Electrical technology and engineering
Lenz-en lege,Lenz's law,Physics > Electro-magnetism
Lenz-en lege,Lenz law,Technological Sciences > Electrical technology and engineering
magnetizatu,magnetize,Physics > Electro-magnetism
magnetizatu,magnetise,Technological Sciences > Electrical technology and engineering
magnetizazio-korronte,magnetization current,Physics > Electro-magnetism
magnetizazio-korronte,excitation current; excitation system current; magnetising current,Technological Sciences > Electrical technology and engineering
masa,mass,Physics > Electro-magnetism
masa,earth; exposed conductive part; earthing; ground connection,Technological Sciences > Electrical technology and engineering
material eroale,conductor; conductor material,Physics > Electro-magnetism
material eroale,conducting material,Technological Sciences > Electrical technology and engineering
Maxwell-en ekuazioak,electromagnetic field equations; Maxwell equations; Maxwell field equations; Maxwell's equation,Physics > Electro-magnetism
Maxwell-en ekuazioak,Maxwell's equations,Technological Sciences > Electrical technology and engineering
neurgailu,measuring device; meter,Physics > Electro-magnetism
neurgailu,measurement device; measuring instrument,Technological Sciences > Electrical technology and engineering
nukleo,nucleus,Physics > Electro-magnetism
nukleo,core,Technological Sciences > Electrical technology and engineering
paralelo-elkarketa,parallel association,Physics > Electro-magnetism
paralelo-elkarketa,parallel combination,Technological Sciences > Electrical technology and engineering
paralelo-konexio,parallel connection,Physics > Electro-magnetism
paralelo-konexio,parallel combination,Technological Sciences > Electrical technology and engineering
permitibitate,absolute permittivity; permittivity,Physics > Electro-magnetism
permitibitate,permitivity,Technological Sciences > Electrical technology and engineering
polarizatu,polarize,Physics > Electro-magnetism
polarizatu,polarise,Technological Sciences > Electrical technology and engineering
posizio,position,Physics > Electro-magnetism
posizio,bay,Technological Sciences > Electrical technology and engineering
saiakuntza,experiment,Physics > Electro-magnetism
saiakuntza,test,Technological Sciences > Electrical technology and engineering
serie-elkarketa,association in series; series conection,Physics > Electro-magnetism
serie-elkarketa,series combination,Technological Sciences > Electrical technology and engineering
serie-konexio,association in series; series conection,Physics > Electro-magnetism
serie-konexio,series connection,Technological Sciences > Electrical technology and engineering
sorgailu elektriko,electric generator,Physics > Electro-magnetism
sorgailu elektriko,electrical generator,Technological Sciences > Electrical technology and engineering
tortsio,torsion,Physics > Electro-magnetism
tortsio,torque,Technological Sciences > Electrical technology and engineering
transmisio-ardatz,transmission axis,Physics > Electro-magnetism
transmisio-ardatz,dumb-bell shaft; spacer shaft,Technological Sciences > Electrical technology and engineering
zirkuitulabur,short circuit,Physics > Electro-magnetism
zirkuitulabur,short-circuit,Technological Sciences > Electrical technology and engineering
