Term,Translation,Context
abiadura,rate; kinetic energy,Medical Sciences > Pharmaceutical Technology
abiadura,speed; velocity,Technological Sciences > Electrical technology and engineering
aparatu,machine,Medical Sciences > Pharmaceutical Technology
aparatu,apparatus; device,Technological Sciences > Electrical technology and engineering
ardatz,axis,Medical Sciences > Pharmaceutical Technology
ardatz,shaft,Technological Sciences > Electrical technology and engineering
azal,skin; surface,Medical Sciences > Pharmaceutical Technology
azal,outer sheath; oversheath; sheath,Technological Sciences > Electrical technology and engineering
biraketa-abiadura,rotation rate,Medical Sciences > Pharmaceutical Technology
biraketa-abiadura,rotational speed; speed of revolution; speed of rotation; velocity of rotation,Technological Sciences > Electrical technology and engineering
doikuntza,fitting,Medical Sciences > Pharmaceutical Technology
doikuntza,adjustment; setting,Technological Sciences > Electrical technology and engineering
erreaktibo,reagent,Medical Sciences > Pharmaceutical Technology
erreaktibo,reactive,Technological Sciences > Electrical technology and engineering
esekidura,suspension,Medical Sciences > Pharmaceutical Technology
esekidura,hanging,Technological Sciences > Electrical technology and engineering
estaldura,coating; cover,Medical Sciences > Pharmaceutical Technology
estaldura,outer sheath; oversheath; sheath,Technological Sciences > Electrical technology and engineering
hodi,tube,Medical Sciences > Pharmaceutical Technology
hodi,conduit; duct; pipe,Technological Sciences > Electrical technology and engineering
indar,stress,Medical Sciences > Pharmaceutical Technology
indar,force,Technological Sciences > Electrical technology and engineering
karga,charge,Medical Sciences > Pharmaceutical Technology
karga,load,Technological Sciences > Electrical technology and engineering
karga elektriko,electric charge,Medical Sciences > Pharmaceutical Technology
karga elektriko,electric load; electrical load; load,Technological Sciences > Electrical technology and engineering
kondentsadore,condenser,Medical Sciences > Pharmaceutical Technology
kondentsadore,capacitor,Technological Sciences > Electrical technology and engineering
kontagailu,counter,Medical Sciences > Pharmaceutical Technology
kontagailu,electric meter; energy meter,Technological Sciences > Electrical technology and engineering
maila,level,Medical Sciences > Pharmaceutical Technology
maila,loop; mesh,Technological Sciences > Electrical technology and engineering
masa,mass,Medical Sciences > Pharmaceutical Technology
masa,earth; exposed conductive part; earthing; ground connection,Technological Sciences > Electrical technology and engineering
modulu,module,Medical Sciences > Pharmaceutical Technology
modulu,modulus,Technological Sciences > Electrical technology and engineering
osagai,ingredient,Medical Sciences > Pharmaceutical Technology
osagai,component; element,Technological Sciences > Electrical technology and engineering
saiakuntza,assay,Medical Sciences > Pharmaceutical Technology
saiakuntza,test,Technological Sciences > Electrical technology and engineering
sare,mesh,Medical Sciences > Pharmaceutical Technology
sare,grid; network,Technological Sciences > Electrical technology and engineering
tentsio,tension,Medical Sciences > Pharmaceutical Technology
tentsio,potential difference; voltage,Technological Sciences > Electrical technology and engineering
tutu,tube,Medical Sciences > Pharmaceutical Technology
tutu,conduit; duct; pipe,Technological Sciences > Electrical technology and engineering
xafla,blade,Medical Sciences > Pharmaceutical Technology
xafla,sheet,Technological Sciences > Electrical technology and engineering
