Term,Translation,Context
absorption,absortzio,Chemistry > Physical chemistry
absorption,absortzio; xurgapen,Technological Sciences > Environmental technology and engineering
activity,aktibitate,Chemistry > Physical chemistry
activity,jarduera,Technological Sciences > Environmental technology and engineering
aqueous phase,fase akuoso,Chemistry > Physical chemistry
aqueous phase,ur-fase,Technological Sciences > Environmental technology and engineering
atmospheric pressure,presio atmosferiko,Chemistry > Physical chemistry
atmospheric pressure,egurats presio; presio atmosferiko,Technological Sciences > Environmental technology and engineering
balance,balantza,Chemistry > Physical chemistry
balance,balantze; balantza,Technological Sciences > Environmental technology and engineering
binary mixture,nahaste bitar,Chemistry > Physical chemistry
binary mixture,nahaste binario,Technological Sciences > Environmental technology and engineering
buffer solution,erreguladore,Chemistry > Physical chemistry
buffer solution,indargetze-disoluzio,Technological Sciences > Environmental technology and engineering
cell,gelaxka; zelula; gelaxka galbaniko; pila,Chemistry > Physical chemistry
cell,gela unitate; gelaxka,Technological Sciences > Environmental technology and engineering
charge,karga,Chemistry > Physical chemistry
charge,karga; zama,Technological Sciences > Environmental technology and engineering
combustion,errekuntza; konbustio,Chemistry > Physical chemistry
combustion,erreketa; errekuntza; konbustio,Technological Sciences > Environmental technology and engineering
composition,konposizio,Chemistry > Physical chemistry
composition,konposizio; osaera,Technological Sciences > Environmental technology and engineering
condenser,hoztaile,Chemistry > Physical chemistry
condenser,kondentsadore,Technological Sciences > Environmental technology and engineering
conductivity,eroankortasun; konduktibitate,Chemistry > Physical chemistry
conductivity,eroaletasun; eroankortasun; konduktibitate,Technological Sciences > Environmental technology and engineering
crystalline structure,egitura kristalino,Chemistry > Physical chemistry
crystalline structure,kristal-egitura,Technological Sciences > Environmental technology and engineering
environment,ingurugiro; ingurumen,Chemistry > Physical chemistry
environment,ingurugiro; ingurumen; ingurune,Technological Sciences > Environmental technology and engineering
experiment,esperimentu,Chemistry > Physical chemistry
experiment,entsegu; esperimentu; saiakuntza,Technological Sciences > Environmental technology and engineering
experimental determination,determinazio esperimental,Chemistry > Physical chemistry
experimental determination,zehaztapen esperimental,Technological Sciences > Environmental technology and engineering
fusion,fusio,Chemistry > Physical chemistry
fusion,fusio; urtze,Technological Sciences > Environmental technology and engineering
gas bottle,bonbona,Chemistry > Physical chemistry
gas bottle,gas-bala,Technological Sciences > Environmental technology and engineering
interaction,elkarrekintza,Chemistry > Physical chemistry
interaction,elkar-ekintza; elkarrekintza; interakzio,Technological Sciences > Environmental technology and engineering
ionic concentration,kontzentrazio ioniko,Chemistry > Physical chemistry
ionic concentration,ioiaren kontzentrazio,Technological Sciences > Environmental technology and engineering
mass transfer,masa-garraio,Chemistry > Physical chemistry
mass transfer,masa-transferentzia; materia-transferentzia,Technological Sciences > Environmental technology and engineering
melting point,fusio-puntu,Chemistry > Physical chemistry
melting point,urtze-puntu,Technological Sciences > Environmental technology and engineering
melting temperature,fusio-tenperatura,Chemistry > Physical chemistry
melting temperature,fusio-tenperatura; urtze-tenperatura,Technological Sciences > Environmental technology and engineering
mixture,nahaste,Chemistry > Physical chemistry
mixture,nahasketa; nahaste,Technological Sciences > Environmental technology and engineering
molecular weight,pisu molekular,Chemistry > Physical chemistry
molecular weight,masa molekular; pisu molekular,Technological Sciences > Environmental technology and engineering
phase,fase,Chemistry > Physical chemistry
phase,irabiagailu birakari; fase,Technological Sciences > Environmental technology and engineering
reduction,erredukzio,Chemistry > Physical chemistry
reduction,erredukzio; murrizketa; murriztapen,Technological Sciences > Environmental technology and engineering
residue,hondar,Chemistry > Physical chemistry
residue,errefus; hondakin; hondar,Technological Sciences > Environmental technology and engineering
rubber,goma; kautxu,Chemistry > Physical chemistry
rubber,kautxo,Technological Sciences > Environmental technology and engineering
scale,balantza,Chemistry > Physical chemistry
scale,eskala,Technological Sciences > Environmental technology and engineering
solid state,egoera solido; solido egoera,Chemistry > Physical chemistry
solid state,egoera solido,Technological Sciences > Environmental technology and engineering
solution,disoluzio,Chemistry > Physical chemistry
solution,disoluzio; soluzio,Technological Sciences > Environmental technology and engineering
strong acid,azido sendo,Chemistry > Physical chemistry
strong acid,azido indartsu; azido sendo,Technological Sciences > Environmental technology and engineering
strong base,base sendo,Chemistry > Physical chemistry
strong base,base gogor,Technological Sciences > Environmental technology and engineering
viscosity,likatasun,Chemistry > Physical chemistry
viscosity,biskositate; likatasun,Technological Sciences > Environmental technology and engineering
waste,hondakin,Chemistry > Physical chemistry
waste,errefus; hondakin; hondar,Technological Sciences > Environmental technology and engineering
