Term,Translation,Context
amperage,intentsitate,Physics > Electro-magnetism
amperage,korronte; korronte-intentsitate,Technological Sciences > Electrical technology and engineering
ampere,ampere,Physics > Electro-magnetism
ampere,ampere unitatea,Technological Sciences > Electrical technology and engineering
armature,armadura,Physics > Electro-magnetism
armature,armadura; induzitu,Technological Sciences > Electrical technology and engineering
cell,pila; pila elektrokimiko; pila voltaiko,Physics > Electro-magnetism
cell,gelaxka,Technological Sciences > Electrical technology and engineering
characteristic,ezaugarri; karakteristika,Physics > Electro-magnetism
characteristic,ezaugarri-kurba,Technological Sciences > Electrical technology and engineering
coil,espira; bobina; haril,Physics > Electro-magnetism
coil,bira; espira; bobina; haril,Technological Sciences > Electrical technology and engineering
conduction,eroapen; eroapen elektriko,Physics > Electro-magnetism
conduction,eroapen,Technological Sciences > Electrical technology and engineering
current intensity,korronte-intentsitate; korrontearen intentsitate,Physics > Electro-magnetism
current intensity,korronte; korronte-intentsitate,Technological Sciences > Electrical technology and engineering
device,dispositibo,Physics > Electro-magnetism
device,aparatu; gailu; tresna,Technological Sciences > Electrical technology and engineering
diagram,diagrama,Physics > Electro-magnetism
diagram,diagrama; eskema,Technological Sciences > Electrical technology and engineering
dielectric loss,dielektrikoaren ondoriozko galera,Physics > Electro-magnetism
dielectric loss,galera dielektriko,Technological Sciences > Electrical technology and engineering
discontinuity,desjarraitasun; etenune,Physics > Electro-magnetism
discontinuity,desjarraitutasun; eten,Technological Sciences > Electrical technology and engineering
dissipated power,potentzia xahutu,Physics > Electro-magnetism
dissipated power,potentzia barreiatu,Technological Sciences > Electrical technology and engineering
eddy current,Foulcaul-ten korronteak; korronte parasitoak,Physics > Electro-magnetism
eddy current,korronte parasito,Technological Sciences > Electrical technology and engineering
efficiency,eraginkortasun,Physics > Electro-magnetism
efficiency,errendimendu,Technological Sciences > Electrical technology and engineering
electric power,potentzia elektriko,Physics > Electro-magnetism
electric power,energia elektriko; potentzia elektriko,Technological Sciences > Electrical technology and engineering
energy balance,balantze energetiko,Physics > Electro-magnetism
energy balance,energia-balantze,Technological Sciences > Electrical technology and engineering
excitation,kitzikapen,Physics > Electro-magnetism
excitation,eszitazio; kitzikapen,Technological Sciences > Electrical technology and engineering
filament,filamentu; harizpi,Physics > Electro-magnetism
filament,harizpi,Technological Sciences > Electrical technology and engineering
flow,emari,Physics > Electro-magnetism
flow,igaro; zeharkatu,Technological Sciences > Electrical technology and engineering
fundamental frequency,funtsezko harmoniko; lehen harmoniko; oinarrizko harmoniko,Physics > Electro-magnetism
fundamental frequency,oinarrizko frekuentzia; oinarrizko maiztasun,Technological Sciences > Electrical technology and engineering
generator,generadore; sorgailu,Physics > Electro-magnetism
generator,sorgailu,Technological Sciences > Electrical technology and engineering
isolator,isolagailu,Physics > Electro-magnetism
isolator,ebakigailu,Technological Sciences > Electrical technology and engineering
Joule effect,Joule efektu,Physics > Electro-magnetism
Joule effect,Joule efektua,Technological Sciences > Electrical technology and engineering
link,esteka,Physics > Electro-magnetism
link,lotura-adar,Technological Sciences > Electrical technology and engineering
model,eredu,Physics > Electro-magnetism
model,eredu; modelo,Technological Sciences > Electrical technology and engineering
peak value,gailur-balio,Physics > Electro-magnetism
